age,annual_income,credit_score,debt_to_income,loan_amount,employment_years,home_ownership,loan_intent,default_risk
36,60600.0,690,0.511,16400.0,10,RENT,EDUCATION,High
69,39600.0,605,0.405,5500.0,12,RENT,PERSONAL,High
56,87600.0,559,0.548,12900.0,4,OWN,PERSONAL,High
39,26900.0,795,0.306,8700.0,4,OWN,EDUCATION,Low
27,88500.0,642,0.181,35400.0,2,RENT,VENTURE,Low
61,53500.0,805,0.061,16400.0,7,OWN,MEDICAL,Low
41,44400.0,830,0.128,12700.0,7,OWN,PERSONAL,Low
51,36000.0,626,0.351,12800.0,16,RENT,PERSONAL,Low
52,88200.0,601,0.205,28600.0,8,MORTGAGE,PERSONAL,High
36,61000.0,659,0.396,22500.0,10,RENT,EDUCATION,Low
39,39300.0,711,0.315,17000.0,10,MORTGAGE,EDUCATION,High
68,53400.0,788,0.236,10200.0,26,MORTGAGE,PERSONAL,Low
60,26400.0,577,0.051,10600.0,13,MORTGAGE,EDUCATION,Low
65,107600.0,646,0.162,50000.0,32,RENT,PERSONAL,Low
27,114500.0,550,0.056,27400.0,3,MORTGAGE,PERSONAL,High
39,98700.0,655,0.261,33500.0,6,RENT,EDUCATION,Low
24,59400.0,524,0.324,21900.0,1,MORTGAGE,MEDICAL,High
70,67900.0,419,0.352,25500.0,32,RENT,MEDICAL,High
54,22000.0,451,0.059,5900.0,21,MORTGAGE,PERSONAL,High
32,40000.0,625,0.315,9900.0,2,OWN,PERSONAL,High
62,43100.0,410,0.256,13600.0,32,RENT,PERSONAL,High
62,46100.0,776,0.283,21700.0,23,OWN,EDUCATION,Low
37,73100.0,719,0.65,22900.0,4,RENT,MEDICAL,Low
55,38400.0,620,0.166,8500.0,19,RENT,PERSONAL,Low
26,32100.0,770,0.235,14000.0,3,MORTGAGE,EDUCATION,Low
45,103100.0,489,0.311,14400.0,20,RENT,PERSONAL,Low
49,41400.0,472,0.281,9700.0,7,MORTGAGE,MEDICAL,High
22,34000.0,420,0.142,15400.0,1,MORTGAGE,VENTURE,High
59,18000.0,548,0.474,8700.0,21,MORTGAGE,PERSONAL,High
66,22000.0,780,0.407,2700.0,17,OWN,PERSONAL,Low
