tenure_months,monthly_charges,total_charges,contract_type,internet_service,payment_method,churn
14,35.27,473.84,One-Year,No,Electronic_Check,No
25,56.2,1398.54,Two-Year,DSL,Electronic_Check,No
31,72.09,2124.24,Month-to-Month,No,Bank_Transfer,Yes
32,86.74,2832.74,Month-to-Month,DSL,Electronic_Check,Yes
19,44.37,848.5,Month-to-Month,DSL,Bank_Transfer,No
58,62.32,3745.78,Month-to-Month,No,Credit_Card,Yes
17,64.4,1052.4,Month-to-Month,Fiber_Optic,Credit_Card,Yes
49,54.71,2698.21,Month-to-Month,Fiber_Optic,Electronic_Check,No
9,42.84,366.5,Month-to-Month,Fiber_Optic,Electronic_Check,Yes
22,77.82,1730.64,One-Year,No,Credit_Card,No
23,99.85,2203.38,Month-to-Month,Fiber_Optic,Bank_Transfer,Yes
32,76.61,2522.29,Two-Year,DSL,Mailed_Check,No
22,64.77,1415.09,Month-to-Month,No,Electronic_Check,No
41,27.09,1102.84,Month-to-Month,No,Electronic_Check,No
32,101.62,3392.2,Month-to-Month,DSL,Electronic_Check,Yes
60,108.44,6197.92,Month-to-Month,DSL,Electronic_Check,Yes
67,110.39,7669.86,Two-Year,Fiber_Optic,Electronic_Check,No
16,71.86,1189.89,Two-Year,No,Bank_Transfer,Yes
66,52.53,3435.1,One-Year,Fiber_Optic,Bank_Transfer,No
65,31.04,2118.38,Two-Year,DSL,Electronic_Check,No
61,92.08,5709.42,One-Year,Fiber_Optic,Bank_Transfer,No
23,71.79,1656.69,Month-to-Month,Fiber_Optic,Credit_Card,Yes
19,33.88,636.87,Two-Year,DSL,Bank_Transfer,No
56,36.47,2030.0,Month-to-Month,No,Credit_Card,No
47,113.9,5103.92,Two-Year,Fiber_Optic,Bank_Transfer,No
38,96.1,3552.81,Two-Year,No,Mailed_Check,No
65,111.57,7293.67,Two-Year,Fiber_Optic,Electronic_Check,No
25,47.1,1153.04,One-Year,DSL,Electronic_Check,No
31,89.96,2756.01,Month-to-Month,DSL,Bank_Transfer,Yes
40,101.47,4108.66,One-Year,Fiber_Optic,Electronic_Check,No
33,84.72,2799.91,Month-to-Month,Fiber_Optic,Electronic_Check,Yes
35,24.78,845.82,Month-to-Month,No,Electronic_Check,Yes
48,44.22,2068.0,One-Year,DSL,Credit_Card,No
11,98.26,1071.86,Month-to-Month,Fiber_Optic,Bank_Transfer,Yes
10,40.53,395.49,Month-to-Month,DSL,Credit_Card,Yes
32,105.36,3347.28,Month-to-Month,Fiber_Optic,Bank_Transfer,Yes
36,73.34,2591.83,Month-to-Month,DSL,Electronic_Check,Yes
66,96.84,6700.14,Month-to-Month,Fiber_Optic,Electronic_Check,No
2,35.84,69.93,Month-to-Month,No,Mailed_Check,Yes
47,23.34,1108.82,Month-to-Month,DSL,Electronic_Check,No
69,51.53,3568.29,Two-Year,DSL,Credit_Card,No
9,54.8,506.78,Month-to-Month,Fiber_Optic,Mailed_Check,Yes
33,76.99,2624.99,Two-Year,Fiber_Optic,Electronic_Check,No
50,21.41,1061.46,Month-to-Month,Fiber_Optic,Electronic_Check,No
15,109.9,1594.69,Month-to-Month,Fiber_Optic,Electronic_Check,Yes
50,95.3,4923.55,Month-to-Month,Fiber_Optic,Credit_Card,Yes
35,77.16,2634.26,Month-to-Month,DSL,Electronic_Check,Yes
36,80.78,2895.92,Month-to-Month,Fiber_Optic,Electronic_Check,Yes
51,31.95,1564.12,Month-to-Month,DSL,Mailed_Check,No
3,96.84,285.59,Month-to-Month,DSL,Electronic_Check,Yes
52,91.51,4619.83,One-Year,DSL,Electronic_Check,No
40,61.32,2341.5,Month-to-Month,DSL,Mailed_Check,Yes
35,21.45,786.05,Month-to-Month,DSL,Credit_Card,No
21,62.63,1343.02,Month-to-Month,Fiber_Optic,Mailed_Check,Yes
14,108.06,1511.42,Month-to-Month,DSL,Bank_Transfer,Yes
39,72.35,2931.51,Month-to-Month,Fiber_Optic,Credit_Card,No
58,20.5,1170.75,Month-to-Month,DSL,Electronic_Check,No
28,106.37,3042.36,Month-to-Month,Fiber_Optic,Mailed_Check,Yes
8,22.27,182.81,Month-to-Month,DSL,Mailed_Check,No
29,78.76,2293.08,Month-to-Month,No,Electronic_Check,No
14,48.74,673.77,One-Year,DSL,Electronic_Check,No
67,109.23,7236.88,Month-to-Month,Fiber_Optic,Electronic_Check,Yes
13,83.24,1051.04,Month-to-Month,Fiber_Optic,Electronic_Check,Yes
68,99.73,6509.31,Two-Year,DSL,Credit_Card,No
2,26.71,54.79,Two-Year,No,Credit_Card,No
13,55.28,685.7,Month-to-Month,Fiber_Optic,Mailed_Check,Yes
35,47.68,1629.36,Month-to-Month,No,Bank_Transfer,No
18,22.17,388.67,Month-to-Month,Fiber_Optic,Mailed_Check,Yes
12,92.83,1081.04,Month-to-Month,Fiber_Optic,Credit_Card,Yes
70,46.54,3335.99,Month-to-Month,DSL,Electronic_Check,No
23,23.38,527.14,One-Year,DSL,Credit_Card,No
40,26.45,1096.09,Month-to-Month,DSL,Credit_Card,No
61,78.06,4602.82,One-Year,DSL,Electronic_Check,No
49,21.71,1019.5,Month-to-Month,Fiber_Optic,Electronic_Check,No
65,39.34,2613.84,Two-Year,DSL,Bank_Transfer,No
42,97.57,3938.67,Month-to-Month,No,Mailed_Check,No
38,95.95,3618.71,Two-Year,DSL,Credit_Card,Yes
9,85.49,760.55,Month-to-Month,DSL,Electronic_Check,Yes
32,68.14,2153.39,One-Year,Fiber_Optic,Bank_Transfer,No
40,54.39,2090.73,Month-to-Month,No,Credit_Card,Yes
62,94.38,6143.52,One-Year,Fiber_Optic,Electronic_Check,Yes
4,22.6,92.25,Two-Year,DSL,Electronic_Check,No
67,107.38,7355.08,Two-Year,No,Bank_Transfer,No
1,111.25,113.66,Month-to-Month,Fiber_Optic,Electronic_Check,Yes
7,40.91,290.7,Month-to-Month,Fiber_Optic,Credit_Card,Yes
