age,monthly_salary,total_experience_years,years_at_company,monthly_overtime_hours,department,job_level,attrition
37,7500.0,11,5,3,Engineering,Junior,Yes
30,4900.0,5,5,17,Sales,Mid,Yes
55,10400.0,18,17,24,Engineering,Junior,No
37,7600.0,11,2,12,Sales,Senior,No
40,7000.0,10,7,13,Sales,Senior,No
52,7200.0,12,12,21,Sales,Junior,Yes
32,4800.0,5,1,2,Sales,Mid,Yes
32,5500.0,5,0,12,Engineering,Mid,No
51,11200.0,19,1,10,Sales,Senior,No
52,13200.0,27,0,21,Sales,Junior,No
59,11000.0,22,12,2,Engineering,Junior,No
26,3200.0,3,3,3,Sales,Junior,Yes
46,9500.0,19,8,24,Sales,Senior,Yes
38,7900.0,11,11,24,Sales,Mid,No
56,13200.0,23,19,18,Engineering,Senior,No
53,11900.0,22,7,10,Sales,Senior,No
39,6700.0,8,8,22,Engineering,Junior,No
29,4100.0,4,4,4,Engineering,Mid,No
42,8500.0,14,14,12,HR,Mid,Yes
33,5700.0,7,7,16,Sales,Junior,Yes
22,4900.0,1,1,0,Sales,Mid,No
35,8500.0,13,0,13,Engineering,Mid,Yes
48,12200.0,23,12,23,Engineering,Junior,Yes
30,5100.0,5,4,7,Sales,Senior,No
49,11400.0,24,18,6,Engineering,Junior,No
56,11500.0,21,9,13,Sales,Mid,Yes
40,6000.0,9,9,5,Engineering,Mid,Yes
43,8700.0,11,11,12,Engineering,Mid,No
57,12800.0,26,6,6,Sales,Mid,No
54,13200.0,26,5,0,Sales,Mid,No
32,7200.0,10,10,23,Sales,Junior,Yes
42,12700.0,21,14,9,Sales,Mid,No
55,16300.0,32,17,7,HR,Senior,No
31,3800.0,4,4,22,Sales,Mid,No
23,4600.0,1,1,4,Sales,Mid,Yes
32,8000.0,10,10,10,Engineering,Senior,No
51,12500.0,26,8,10,Sales,Junior,No
57,7100.0,12,12,12,Sales,Mid,Yes
48,10400.0,19,1,3,Sales,Senior,No
29,5300.0,6,6,6,Sales,Mid,No
32,4700.0,8,7,14,Sales,Junior,Yes
22,3400.0,1,1,10,HR,Senior,No
23,4700.0,2,2,2,Sales,Senior,Yes
45,4800.0,8,3,1,Engineering,Junior,No
26,3700.0,3,3,24,HR,Senior,Yes
34,6000.0,5,5,18,Engineering,Junior,Yes
56,10900.0,19,17,22,Engineering,Mid,No
39,5800.0,6,6,16,Engineering,Mid,Yes
31,8000.0,10,2,7,Sales,Senior,No
27,4800.0,6,6,24,Sales,Senior,Yes
48,10300.0,19,6,15,Sales,Mid,No
40,6500.0,8,8,10,HR,Junior,Yes
28,5000.0,6,6,23,Sales,Mid,No
27,4800.0,5,4,3,Sales,Senior,No
35,5100.0,9,9,2,Engineering,Senior,Yes
45,12700.0,23,13,5,Engineering,Senior,No
56,15200.0,32,5,17,Sales,Junior,No
22,3500.0,1,1,6,Engineering,Senior,No
30,6400.0,7,0,7,Sales,Mid,No
