age,education_num,hours_per_week,workclass,high_income
64,15,33,Self-Employed,Yes
34,12,24,Private,No
47,9,34,Private,No
41,14,50,Private,Yes
57,11,27,Public,No
34,10,48,Private,Yes
54,8,21,Private,No
46,9,56,Private,No
26,11,37,Public,Yes
39,13,22,Private,No
23,9,59,Private,No
38,15,31,Private,No
64,13,56,Self-Employed,Yes
21,8,21,Public,No
61,11,54,Public,Yes
42,10,20,Self-Employed,No
55,12,55,Private,Yes
24,8,21,Private,No
36,13,33,Private,No
25,15,24,Public,Yes
67,15,44,Private,No
29,9,59,Private,No
39,9,54,Private,Yes
63,13,37,Private,Yes
37,12,27,Private,Yes
60,15,48,Private,Yes
20,11,27,Private,Yes
47,8,44,Self-Employed,Yes
40,11,31,Private,Yes
20,12,57,Private,No
38,9,23,Private,No
41,14,54,Self-Employed,No
21,14,23,Self-Employed,No
39,10,48,Private,Yes
34,10,35,Private,Yes
28,14,31,Private,No
62,11,34,Private,No
38,13,44,Private,Yes
39,9,56,Private,No
40,14,30,Private,Yes
28,13,31,Private,No
36,13,44,Public,Yes
34,13,27,Self-Employed,Yes
57,11,27,Self-Employed,Yes
56,11,34,Private,Yes
38,13,46,Private,Yes
22,15,39,Private,Yes
34,9,30,Public,No
55,14,47,Private,No
36,9,55,Private,No
33,14,55,Private,Yes
67,8,53,Private,Yes
37,10,32,Public,No
56,15,31,Public,No
22,11,37,Private,No
21,11,34,Self-Employed,Yes
54,12,33,Self-Employed,Yes
34,14,43,Private,Yes
35,9,41,Private,No
67,14,21,Private,Yes
37,12,54,Private,Yes
58,14,48,Private,Yes
54,13,40,Private,Yes
30,13,27,Private,No
24,8,52,Private,Yes
63,10,42,Self-Employed,Yes
37,8,46,Private,No
50,10,26,Public,Yes
42,8,41,Self-Employed,No
21,13,46,Public,No
57,8,38,Private,No
20,10,38,Private,Yes
30,12,28,Private,No
38,13,56,Private,Yes
29,8,51,Private,No
55,12,49,Private,No
64,12,59,Private,Yes
41,13,37,Public,Yes
46,8,36,Private,No
49,9,21,Private,No
67,9,31,Private,No
29,13,36,Private,No
23,8,38,Private,No
50,9,20,Public,Yes
34,9,24,Private,No
26,15,59,Private,No
39,14,41,Self-Employed,Yes
36,9,25,Private,Yes
41,14,50,Private,Yes
53,10,40,Private,No
46,11,46,Self-Employed,No
40,9,52,Private,Yes
51,8,48,Private,Yes
50,15,52,Private,Yes
34,12,25,Private,Yes
26,11,25,Private,No
20,14,39,Private,No
57,11,27,Private,Yes
27,9,29,Private,No
21,12,25,Public,No
22,8,28,Private,No
30,13,59,Private,Yes
66,11,44,Private,Yes
32,13,41,Public,Yes
66,15,41,Private,Yes
51,10,25,Private,Yes
63,12,36,Private,Yes
53,11,56,Private,Yes
28,12,54,Private,Yes
